x,y,z
0.8468978,-0.1477134,-7.91
0.8496078,-0.1477134,-7.91
0.8523178,-0.1477134,-7.91
0.8550279,-0.1477134,-7.91
0.857738,-0.1477134,-7.91
0.860448,-0.1477134,-7.91
0.863158,-0.1477134,-7.91
0.8658681,-0.1477134,-7.91
1.237146,-0.1477134,-7.91
1.239856,-0.1477134,-7.91
1.242566,-0.1477134,-7.91
1.245276,-0.1477134,-7.91
1.247986,-0.1477134,-7.91
1.250696,-0.1477134,-7.91
1.253406,-0.1477134,-7.91
1.256116,-0.1477134,-7.91
1.45395,-0.1477134,-7.91
1.45666,-0.1477134,-7.91
1.45937,-0.1477134,-7.91
1.46208,-0.1477134,-7.91
1.46479,-0.1477134,-7.91
1.4675,-0.1477134,-7.91
1.47021,-0.1477134,-7.91
1.47292,-0.1477134,-7.91
1.085383,-0.1477134,-7.91
1.088093,-0.1477134,-7.91
1.090803,-0.1477134,-7.91
1.093513,-0.1477134,-7.91
1.096223,-0.1477134,-7.91
1.098933,-0.1477134,-7.91
1.101643,-0.1477134,-7.91
1.104353,-0.1477134,-7.91
0.8902586,-0.1477134,-7.91
0.8929687,-0.1477134,-7.91
0.8956787,-0.1477134,-7.91
0.8983888,-0.1477134,-7.91
0.9010988,-0.1477134,-7.91
0.9038089,-0.1477134,-7.91
0.9065189,-0.1477134,-7.91
0.909229,-0.1477134,-7.91
0.9552999,-0.1477134,-7.91
0.95801,-0.1477134,-7.91
0.9607201,-0.1477134,-7.91
0.9634301,-0.1477134,-7.91
0.9661402,-0.1477134,-7.91
0.9688503,-0.1477134,-7.91
0.9715603,-0.1477134,-7.91
0.9742703,-0.1477134,-7.91
1.280506,-0.1477134,-7.91
1.283217,-0.1477134,-7.91
1.285927,-0.1477134,-7.91
1.288637,-0.1477134,-7.91
1.291347,-0.1477134,-7.91
1.294057,-0.1477134,-7.91
1.296767,-0.1477134,-7.91
1.299477,-0.1477134,-7.91
0.9119391,-0.1477134,-7.91
0.9146491,-0.1477134,-7.91
0.9173591,-0.1477134,-7.91
0.9200692,-0.1477134,-7.91
0.9227793,-0.1477134,-7.91
0.9254893,-0.1477134,-7.91
0.9281994,-0.1477134,-7.91
0.9309095,-0.1477134,-7.91
1.670754,-0.1477134,-7.91
1.673465,-0.1477134,-7.91
1.676175,-0.1477134,-7.91
1.678885,-0.1477134,-7.91
1.681595,-0.1477134,-7.91
1.684305,-0.1477134,-7.91
1.687015,-0.1477134,-7.91
1.689725,-0.1477134,-7.91
1.345548,-0.1477134,-7.91
1.348258,-0.1477134,-7.91
1.350968,-0.1477134,-7.91
1.353678,-0.1477134,-7.91
1.356388,-0.1477134,-7.91
1.359098,-0.1477134,-7.91
1.361808,-0.1477134,-7.91
1.364518,-0.1477134,-7.91
1.063702,-0.1477134,-7.91
1.066412,-0.1477134,-7.91
1.069122,-0.1477134,-7.91
1.071832,-0.1477134,-7.91
1.074542,-0.1477134,-7.91
1.077252,-0.1477134,-7.91
1.079962,-0.1477134,-7.91
1.082672,-0.1477134,-7.91
1.735796,-0.1477134,-7.91
1.738506,-0.1477134,-7.91
1.741216,-0.1477134,-7.91
1.743926,-0.1477134,-7.91
1.746636,-0.1477134,-7.91
1.749346,-0.1477134,-7.91
1.752056,-0.1477134,-7.91
1.754766,-0.1477134,-7.91
1.497311,-0.1477134,-7.91
1.500021,-0.1477134,-7.91
1.502731,-0.1477134,-7.91
1.505441,-0.1477134,-7.91
1.508151,-0.1477134,-7.91
1.510861,-0.1477134,-7.91
1.513571,-0.1477134,-7.91
1.516281,-0.1477134,-7.91
1.518991,-0.1477134,-7.91
1.521702,-0.1477134,-7.91
1.524412,-0.1477134,-7.91
1.527122,-0.1477134,-7.91
1.529832,-0.1477134,-7.91
1.532542,-0.1477134,-7.91
1.535252,-0.1477134,-7.91
1.537962,-0.1477134,-7.91
1.714116,-0.1477134,-7.91
1.716825,-0.1477134,-7.91
1.719536,-0.1477134,-7.91
1.722246,-0.1477134,-7.91
1.724956,-0.1477134,-7.91
1.727666,-0.1477134,-7.91
1.730376,-0.1477134,-7.91
1.733086,-0.1477134,-7.91
1.128743,-0.1477134,-7.91
1.131453,-0.1477134,-7.91
1.134163,-0.1477134,-7.91
1.136874,-0.1477134,-7.91
1.139584,-0.1477134,-7.91
1.142294,-0.1477134,-7.91
1.145004,-0.1477134,-7.91
1.147714,-0.1477134,-7.91
1.323867,-0.1477134,-7.91
1.326577,-0.1477134,-7.91
1.329288,-0.1477134,-7.91
1.331998,-0.1477134,-7.91
1.334708,-0.1477134,-7.91
1.337418,-0.1477134,-7.91
1.340128,-0.1477134,-7.91
1.342838,-0.1477134,-7.91
1.540672,-0.1477134,-7.91
1.543382,-0.1477134,-7.91
1.546092,-0.1477134,-7.91
1.548802,-0.1477134,-7.91
1.551512,-0.1477134,-7.91
1.554222,-0.1477134,-7.91
1.556932,-0.1477134,-7.91
1.559642,-0.1477134,-7.91
1.302187,-0.1477134,-7.91
1.304897,-0.1477134,-7.91
1.307607,-0.1477134,-7.91
1.310317,-0.1477134,-7.91
1.313027,-0.1477134,-7.91
1.315737,-0.1477134,-7.91
1.318447,-0.1477134,-7.91
1.321157,-0.1477134,-7.91
1.562352,-0.1477134,-7.91
1.565062,-0.1477134,-7.91
